study,journal,title,year_published,doi,prompts,country,country_region,country_region_note,animal_pop,data_extraction,data_start,data_end,continuous,continuous_note,exceptions_any,exceptions_any_note,descrip_age,descrip_sex,descrip_breed,descrip_premisetype,descrip_other,disease_outcome,disease_outcome_note,nodes,nodes_number,edges,edges_number,edges_weighted,edges_weighted_note,exclusions,n_networks,directed_network,temporality,temporality_note,software,methology_used,network_measures,community_detection,community_detection_qualityfunction,relevance_results,barriers,recommendations,note
Notsu 2020,Pathogens,Quantitative Risk Assessment for the Introduction of Bovine Leukemia Virus-Infected Cattle Using a Cattle Movement Network Analysis,2020,10.3390/pathogens9110903,quantify the farm-level risk of BLV introduction using a cattle movement analysis,JPN,N,-,cattle,Search Service of Individual Identification Information of Cattle - online official records - managed by the National Livestock Breeding Center (NLBC) using ear tag numbers for each of the animals sampled for BLV ,-,,N,"life-time of animals from which blood was collected during December 2015 to June 2016 and from August to September 2016, repectively in slaughterplants A and B",N,-,Y,Y,Y,Y,carcass weight; ear tag,Y,BLV,animal holding,"1154 (1097 farms, 55 markets, 2 slaughterplants)",animal movements,2963,Y,number of movements,-,1,Y,N,-,R,"A generalized linear mixed Poisson model was built to judge the effect of weighted in-degree centrality (dependent variable) on the number of introduced BLV-infected cattle (independent variable). We constructed two scenarios: Scenario 1)  BLV-ELISA-positive cattle were assumed to have been infected at their birth farms and their BLV infectious status remained positive until slaughtered (worst-case) and Scenario 2) all sampled cattle were born from a different mother (42.4% of mothers were assumed to be infected with BLV according to a previous study results and 18.6% of calves assumed to be transmitted vertically by those infected moms) - thus, 7.89% (the 42.4% BLV prevalence of mothers multiplied by the vertical transmission rate of 18.6%) of randomly selected BLV-ELISA-positive cattle were assumed to have been infected on their birth farms, and the rest were assumed to have been infected on their first-moved farms.",in-degree; weighted in-degree,N,-,results suggest a positive association between weighted in-degree centrality and the estimated number of introduced BLV-infected cattle; high risk of BLV infection on farms with a high number of cattle being introduced.,"Even if we could not clearly determine when and where the cattle were infected, the cattle movement network in which cattle infectious status was identified at slaughterhouses allowed us to predict the farm-level risk of BLV introduction under this scenario. Additionally, within-farm transmission of BLV was not considered","need to strengthen BLV control strategies, especially along the chain of cattle movement - the prioritization of higher weighted in-degree farms as the targets for BLV surveillance is suggested to better control disease spread. The assessment of these control strategies with a dynamic mathematical modeling of BLV spread on cattle movement networks is also recommended. Movements of infected animals must be considered for the control of chronic infectious diseases in livestock.",
Nusinovici 2014,GEOSPATIAL HEALTH,Relative contributions of neighbourhood and animal movements to Coxiella burnetii infection in dairy cattle herds,2014,10.4081/gh.2014.36,(i) to describe the spatial distribution of Q fever-infected dairy herds in two different regions (france and sweden) and (ii) to quantify and compare the relative contributions of C. burnetii transmission related to neighbourhood and to animal movements on the risk for a herd to be infected.,SWE; FRA,Y,Finistère District in France; the Island of Gotland in Sweden,cattle,-,2000,2011,N,2000-2011 in France; 2005-2011 in Sweden,N,-,N,N,N,N,-,Y,Coxiella Burnetti (Q fever) using ELISA,animal holding of tested herds and its connections,119 tested dairy herds in sweden; 2829 tested dairy herds in france,animal movements,-,N,-,-,8,Y,N,-,-,"Network analysis was used to investigate the impact of animal movements on the risk for a herd to be detected as ELISA positive, individually for two zones: sweden and france; In-degree was calculated for the 4 years before the date of the ELISA testing (in 2012), therefore, from 2008-2011; Then, four logistic regression models were constructed assessing the relation between the risk for a herd to be detected as positive and each of the four in-degree variables (local density within 5km around each herd was considered); the associated OR was calculated and the AIC for each model (which give the highest likelihood model & the highest explanatory model, respectively for AIC and ORs; Finally, spatial analysis was done to detect clusters of BTM-positive herds (using a bernoulli model); and finally, the population attributable fractions (AF) calculated for each variable.",in-degree,N,-,"the risk of C. burnetii infection is influenced both by animal movements and by the closeness between cattle herds (more or less than 5km) with similar strenghts of association, even though they seem to play distinct roles in the transmission of the bacterium between herds (adding local density to the model did not change the effect of animal movements); The risk for a herd of becoming infected almost linearly increased with exposure levels (herd size/proximity and in-degree)","risk of misclassification bias by relying on the detection of antibodies against C. burnetii and not the pathogen itself; Animal movements within 5 km of the herd of origin may confound the effect of local transmission - To test this possible confusion, the ID variable was split into two variables depending on the distance between the herd of origin and the receiving herd: transfer within or 5 km of the herd of origin.",The control measures to be implemented in herds at the regional level could differ according to the cattle density (not preventable but control measures such as vaccinations can vary according to local density) and the animal movements (preventable through herd testing).,
O'Hara 2020,Frontiers in Veterinary Science,Network Analysis of Swine Shipments in China: The First Step to Inform Disease Surveillance and Risk Mitigation Strategies,2020,10.3389/fvets.2020.00189,a first exploration of the social network of the pig trade in China; to describe the network structure in a typical multi-site system in China; to describe pig movement spatio-temporal dynamics; and to identify priority farms that may contribute to the risk of disease introduction and spread.,CHN,Y,one pig producer,swine,a large-scale multisite pig producer,1 Jan 2017,31 Dec 2017,Y,one year,Y,no information on the external farms contacting our production system,N,N,N,Y,-,N,not-specific disease spread via forward reachability paths,production sites,67 (50 without slaughterhouses),animal movements,2567 (485 without slaughterhouses),N,-,movements to slaughterhouses,4 (2 static and 2 dynamic),Y,N,"overall number of shipments being highest in January, then declining throughout the year",R,"In a first step, we constructed and evaluated the characteristics and properties of the complete network (for the whole study period). In a second step, we generated and evaluated the properties of the dynamic network (i.e., considering the complex dynamics of the edge formation and dissolution over time). Finally, we used the dynamic network to evaluate the potential disease transmission and epidemic sizes over the network, considering the actual farm-to-farm contacts under diverse epidemiological scenarios and computing the forward reachability paths for all nodes in the network.",diameter; edge density; average path length; clustering coefficient; in-degree; out-degree; forward reachability path; weakly connected component,N,-,"the system is seasonal and predominated by the movement of growers, contributing to the variable impact certain farms had on epidemic spread at different times of the year, and may be explained in part by the timing of Chinese traditional festivals (Drops in epidemic size correspond to multiple of these events); identified super-receivers and super-spreaders","information about node parameters such as farm size, production type, disease status, or biosecurity and management practices was not available ","The most cost-effective preventive and control measures will be those targeting farms characterized as super-spreaders for the implementation of risk-mitigation strategies (i.e., biosecurity, vaccination, quarantine etc.), while our super-receivers should be prioritized for enhanced surveillance programs; Future directions should include the incorporation of more data about on-farm demographics, farm type and management practices within our network, as well as the incorporation of additional production systems, additional transmission pathways, and specific biosecurity or risk-based interventions; the availability of more swine trade data could help to better understand ASF transmission dynamics, as well as to prevent and control further outbreaks; recommend the expansion and utilization of this approach as a benchmark in the food safety and emergency response plan for China’s swine industry moving forward",
O'Hara 2022,Frontiers in Veterinary Science,Network analysis of live pig movements in North Macedonia: Pathways for disease spread,2022,10.3389/fvets.2022.922412,"to describe North Macedonia’s pig census and the live pig movement network to support ongoing disease mitigation planning and response efforts, which will support risk assessment of disease dissemination within the local industry, as well as faster responses to new detections; to provide one of the first descriptions of North Macedonia’s pig population and the social network of its live pig trade, including the distribution of pigs and pig farms, pig movement spatio-temporal dynamics, and priority farms that may contribute to the risk of disease introduction and spread",MKD,N,-,swine,annual pig census data and records of permitted movements from the Veterinary Authority (Food and Veterinary Agency of North Macedonia),2016,2020,N,pig movement data from Jan 2017 to 23 Nov 2019; yearly records contained different amount of information,Y,"A separate set of data on movements to slaughterhouses was provided for 2019, therefore, the number of animals moved is only available for movements to slaughterhouses for 2019",N,N,N,Y,-,N,-,production sites; municipalities,"388 in 2017 (121 Jan, 141 Feb, 160 Mar, 148 Apr, 143 May, 125 Jun, 124 Jul, 126 Aug, 128 Sep, 124 Oct, 133 Nov, 157 Dec); 387 in 2018 (128 Jan, 142 Feb, 149 Mar, 156 Apr, 135 May, 123 Jun, 127 Jul, 120 Aug, 124 Sep, 139 Oct, 149 Nov, 166 Dec); 479 in 2019 (140 Jan, 176 Feb, 167 Mar, 174 Apr, 165 May, 125 Jun, 128 Jul, 148 Aug, 155 Sep, 148 Oct, 136 Nov, 0 Dec)",animal movements,"6678 in 2017 (506 Jan, 511 Feb, 584 Mar, 581 Apr, 576 May, 482 Jun, 550 Jul, 538 Aug, 507 Sep, 561 Oct, 600 Nov, 682 Dec); 7451 in 2018 (560 Jan, 523 Feb, 558 Mar, 645 Apr, 591 May, 527 Jun, 657 Jul, 593 Aug, 558 Sep, 710 Oct, 694 Nov, 835 Dec); 7113 in 2019 (596 Jan, 655 Feb, 628 Mar, 751 Apr, 669 May, 585 Jun, 712 Jul, 642 Aug, 679 Sep, 698 Oct, 498 Nov, 0 Dec)",Y,number of movements,weighted networks with slaughterhouses,70 (35 weighted and 35 unweighted),Y,Y,annual; monthly,R,"Descriptive statistics were calculated for the census data. The movement networks were analyzed separately for each month and year. Static, directed, unweighted networks for were defined using pig production sites as nodes or vertices, and shipments of live pigs as edges. The similarity between annual networks was calculated using a Jaccard index. Weighted annual networks were used to evaluate the consistency of nodes shipping and receiving animals. Weighted networks were also used to summarize movement distances. To address the large turnover in UINs each year, annual movements were also summarized at the municipality level. For each year, the number of movements into and out of each municipality was calculated and mapped for visual comparison.",Jaccard similarity; diameter; edge density; average path length; clustering coefficient; in-degree; out-degree; betweenness; GSCC; GWCC; movement distances,Y,Walktrap algorithm with weighted links,"The network of movement of these pigs was weakly connected, with instability across years among those farms with infrequent movements but consistent top shippers and receivers. Movements to slaughterhouses predominated the network. In general, the North Macedonia live pig network is highly localized, though a few network communities span the country. Ultimately, this may have limited the spread of ASF before movement controls were implemented. North Macedonia’s live pig network demonstrated a seasonality that is consistent with other European countries, and that aligns with the Easter and Christmas holidays. North Macedonia’s weak connectivity may provide an advantage in limiting disease spread if network vulnerabilities are appropriately targeted during a disease outbreak. North Macedonia’s weak connectivity may provide an advantage in limiting disease spread if network vulnerabilities are appropriately targeted during a disease outbreak.","the lack of reporting on arrival numbers, dates and sales; Movement data for the remainder of 2019 and 2020 was not available at the time of this analysis, therefore it is unclear how the network may adapt to the removal of market sites","Given the historically poor traceability of pigs arriving at and sold from markets, the ongoing closure of these sites is recommended until the outbreak (ASF) is controlled and record-keeping can be improved; the lack of reporting on arrival numbers, dates and sales, indicate ongoing efforts to enhance reporting are warranted; Implementation of pre-movement isolation periods, i.e., stopping movements into and out of a premises, and maintaining very high biosecurity, for a set period of time (e.g., one ASF incubation period) before shipping, during these seasonal peaks may increase the chance of observing a sick pig before shipment, and therefore decrease the risk of spreading disease; Targeting those farms that ship most frequently, to the most other farms, and to non-slaughter destinations, for increased surveillance and training on the recognition of clinical signs and improvement of biosecurity, is expected to decrease the dissemination of disease in this network; Improved implementation of UIN assignments, and maintaining consistency in these assignments, across years is expected to improve traceability and thus disease response efficiency; Additional information on the movement of pork products, vehicles, fomites, farm workers, veterinarians, and the illegal movement of live pigs and pork products, together with wild boar-related factors, is needed to make a better assessment of disease risk in the country; The instability of North Macedonia’s live pig movement network suggests that annual updates should be performed to analyses and resulting recommendations.",
Okello 2021,Frontiers in Veterinary Science,Livestock network analysis for rhodesiense human African trypanosomiasis control in Uganda.,2021,10.3389/fvets.2021.611132,"describe cattle trade network topology and assess the effects of disease control interventions on the transmission of African Trypanosomiasis (rHAT) with varying infectiousness; Specifically, the study aimed to determine the role of the interand intra-district cattle trade in the potential spread of rHAT and identify key cattle markets for targeted disease surveillance and control",UGA,Y,"SE Uganda in Tororo and Namutumba districts, have been endemic for rHAT since the late 1980s",cattle,"Direct collection of data (each market visited on their respective market days) and indirectly (mentioned by cattle traders in a semi-structured questionnaire), given inconsistencies of market records for origin and destination of movements",-,,,,,,N,N,N,N,-,Y,"African Trypanosomiasis (rHAT)  - secondary data on HAT prevalence based on databases such as PubMed, ebsco and parasitology journal.",cattle markets,26,animal movements,325 dyads,Y,distance,-,1,Y,N,-,R,"Network topology measures were calculated for the network of cattle markets in Uganda; Then, using a SIR model, the spread of rHAT was simulated through the network to assess the effects of disease control interventions (using effective methods such as trypanocide treatment and insecticide spraying within the network) on different infectiousness and related probability of transmission. R0 was obtained from previous studies, but both ""slow"" and ""fast"" (reducing by 50% and 25% infectiousness) pathogen transmission was tested. The probability of transmission used in this study was 0.02 (1.287 divided by 60) and 30-time steps.",size; density; clustering coefficient; modularity; connectivity (strong components); degree; betweenness; closeness centrality; cohesiveness (k-core),Y,modularity calculated using Clauset-Newman-Moore algorithm / Hierarchical clustering and community membership matrices including block modelling and structural equivalence,"The cattle trade network exhibited a low clustering coefficient (0.5) with most cattle markets being weakly connected and a few being highly connected. A core group identified comprised markets from both eastern (rHAT endemic) and northwest regions (unaffected areas), which might mean that in case of an outbreak some markets might be potential superspreaders to unaffected areas and should be firstly targeted for surveillance.","livestock markets and cattle traders in northern and some parts of eastern Uganda were not interviewed, as the study was focused on rHAT and lacked resources to expand to other parts of the country; the study relied on past T. b. rhodesiense prevalence as an attribute given that no blood samples were taken from cattle; the cattle network does not incorporate dynamic patterns such as seasonality, thereby limiting its complexity;","targeted surveillance of rHAT in key cattle markets (nodes) such as Namutumba, Soroti, and Molo cattle markets as opposed to untargeted disease control that may be costly; additional collection and analysis of livestock movement data from more cattle markets is needed to understand animal disease risk.",very poor study
Omondi 2021,Preventive Veterinary Medicine,Animal movement in a pastoralist population in the Maasai Mara Ecosystem in Kenya and implications for pathogen spread and control,2021,10.1016/j.prevetmed.2021.105259,"characterize the network patterns associated with different types of animal movements, and evaluate their potential role in disease transmission and control in pastoralist communities in the Maasai Mara Ecosystem (MME) in Kenya. ",KEN,Y,within Maasai Mara Ecosystem (MME) in southwestern Kenya,cattle; sheep; goats,165 households sampled in 67 villages of MME,Nov 2012,Jun 2019,N,survey where respondents were asked to identify villages to which or from which they sent or received animals in the last five years (survey conducted from Nov 2017-Jun 2019),N,-,N,N,N,N,"species (cattle, goats, sheep)",N,-,villages,67,animal movements (4 types of permanent and 1 temporary),88 for gifting up to 506 for agistment,N,-,-,6,Y,N,-,R,"Five separate between-village networks were constructed for each type of movement (agistment or temporary, selling, gifting, bride price and buying). Network measures calculated for each. Then, a combined network of all the movements to gain an understanding of the high-ranking villages by degree and betweenness. The fragmentation of the network was then quantified exploring random removal of nodes in the network and targeted removal (based on degree and betweenness) - using fragmentation index.",in-degree; out-degree; betweneness; density; clustering coefficient; GSCC; GWCC; fragmentation index,N,-,"Targeted removal of village nodes based on degree or betweenness outperformed random removal in terms of fragmenting the network, demonstrating the utility of network analysis for more strategic disease control or surveillance in this pastoralist system - node removal based on degree performed marginally better than betweenness; the removal of
the top five nodes with the highest degree was effective at fragmenting all the networks (even though harder for the agistment network). All the evaluated networks displayed scale-free
properties, highlighting the important role of hubs in these networks.","data were collected cross sectionally and no temporal changes assessed; respondents were asked about movements in the previous 5 years which limits temporal resolution (recall bias); data was collected only in a defined geographical area, and its not generalizable; network structure did not account for common areas of daily contact (daily herding and at water resources) which might be important for localized disease transmission.","identify highly connected
villages could be beneficial in designing disease control programs so that measures can be implemented to fragment potential transmission pathways in the livestock population; The fact that degree outperformed betweenness in increasing the number of components means application of low-cost data collection techniques such as ego-based approaches may yield sufficient information to identify disease control targets",
Ortiz-Pelaez 2006,Preventive Veterinary Medicine,Use of social network analysis to characterize the pattern of animal movements in the initial phases of the 2001 foot and mouth disease (FMD) epidemic in the UK,2006,10.1016/j.prevetmed.2006.04.007,"to explore some recorded movements of cattle and sheep during the initial phase of the 2001 FMD outbreak in the UK, before the ban on animal movements was imposed, to describe and visualize the network of these movements and quantify the relative position of its members using SNA techniques",GBR,N,the first 80 infected premises and all holdings connected by animal movement/s to them,cattle; sheep,DEFRA’s FMD data warehouse VLA epidemiology database; cattle tracing system (CTS); intelligence gathered by the veterinary officers during the field visits to suspect holdings,6 Feb 2001,23 Feb 2001,Y,the first 80 infected premises and all holdings connected by animal movement/s to them,N,-,N,N,N,Y,infection status,N,focused on FMD-infected farms but no disease analysis/outcome,animal holding,653 (100 infects and 553 non-infected),animal movements,797 (54 sheep and 744 cattle),N,-,-,1,Y,N,-,Pajek; STATA,"Cattle movement data were retrieved from the cattle tracing system (CTS). Holdings of origin and destiny were obtained for all cattle of any age moved to/from any of the 80 IPs between 6 and 23 February included. Sheep movements were recorded from the intelligence gathered by the veterinary officers during the field visits to suspect holdings, as collated in the DEFRA FMD warehouse. A directed dichotomized network was developed with all cattle and sheep movements as described above. We described the holdings in each heirarchical cluster and tested the association between cluster and type of holding by fitting a logistic regression model.",betweenness; in-degree; out-degree; k-neighbors; dissimilarity matrix; heirarchical clustering,N,-,"four markets and three dealers amongst the top 10 betweenness nodes, and the node with the highest betweenness is a market that had a pivotal role in the dissemination of FMD in the initial stage of the epidemic; The existence of individual farms with high betweenness and clustered with more central non-farm holdings, suggests that not only markets or dealers, but also this type of farms which are difficult to detect ‘‘a priori’’, can play a key role in the dissemination of the infection in livestock populations, via animal movements","The information recorded in those fields named ‘history’ and ‘clinical details’ was often incomplete; most of the information inserted in the database was truncated, probably due to word limit constrains at some stage of the data handling; lack of a consistent and systematic recording of events during FMD visits; not all tracing information was transferred to the FMD data warehouse databases since only and probably incomplete sheep movement data were stored in it (cattle movement data were less affected due to the existence of a second and more reliable data source (CTS)); We can neither quantify the missing data in our network nor assess the impact on the conclusions of this study and its validity.","the hypothesis that some holdings became infected not due to on-movements of infected animals but to other factors likely to have been crucial in later stages (aerial spread, non-animal infected contacts, fomites, etc.) should be tested with other more comprehensive outbreak data with similar characteristics;The development of templates to collect field intelligence in a structured way during outbreak investigations could facilitate the analysis during an outbreak and after it has been controlled and can provide outbreak investigators with more cost-effective targeted control interventions; By exploring and analysing movement networks, pockets of the disease occurring in undetected areas/holdings could be identified and controlled before it spreads. The detection of actors with high centrality could be a valuable component of early warning systems and contingency plans in countries with centralized animal movement records; Farms with high centrality should be targeted in disease control activities once primary actors like markets, dealers and slaughter houses have been contained",
Ossada 2015,Thesis - Post-Graduation in Epidemiology,Modelagem de medidas de controle em redes de movimentacao de animais.,2015,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/905502160/RAUL_OSSADA_Corrigida.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20240807%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240807T213831Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=c5e6ae875c1dbfc238751749f8f354f752c00ba5f599d4476cf4f3173fddae2e,"compare the effect of control strategies, such as vaccination and movement restriction, in animal movement networks of Mato Grosso, Brazil",BRA,Y,Mato Grosso state,cattle,Guias de Trãnsito Animal (GTA) of the Instuto de Defesa Agropecuária do Estado de Mato Grosso (INDEA-MT),2007,2007,Y,-,N,-,N,N,N,N,purpose of movement,Y,simulated FMD and Brucelosis,animal holding,86541 MT1; 79551 MT2; 79551 5km; 79551 10km,animal movements,167421 MT1; 156284 MT2; 1112822 5km; 3617381 10km ,N,-,movement to slaughterplants,"4 (MT1, MT2, 5km proximity, 10km proximity)",Y and N,N,-,R,"Networks were built and the effect of control strategies (vaccination, movement restriction with network rearrange and without network rearrangment)  were explored for 3 scenarios (based on movement networks only, node proximity only (distance based) and considering both movement networks and proximity); network simulations (10 for each of the 4 networks) were performed for a fast /acute disease (foot and mouth disease) and a slow / chronic disease (brucelosis) using a SIS model - for MT2 and proximity networks. ",degree; in-degree; out-degree,N,-,"Using simulated networks for future targeted disease control and prevention has shown to be less cost-effective in case of an outbreak than focusing on the real networks; Targeted removal of nodes (based on total degree) has shown more effective in reducing disease prevalence than random allocation; the simulations that considered geograpgical proximity were not more effective than random selection; The creation of new links following movement restrictions (network rearrangement has shown to be a potential problem as it facilitates the transmission of pathogens through the network, even when the restriction is applied.",-,"Future studies should consider studying the rearragement following movement restrictions , for instance by limiting it to smaller distances (which is usually what happens if there's na outbreak) ",
Palisson 2016,PloS one,Role of Cattle Movements in Bovine Tuberculosis Spread in France between 2005 and 2014,2016,10.1371/journal.pone.0152578,"assess the respective roles of network and spatial neighbourhood in bTB overall spread in France between 2005 and 2014 through a comparison of the respective roles, in the network, of the links representing network neighbourhood, and of the links representing spatial neighbourhood to connect bTB-infected herds.",FRA,N,-,cattle,"French cattle tracing system database named “Base de Données Nationale d'Identification” (BDNI), provided by the French Ministry of Agriculture",1 Jul 2005,30th Jun 2014,Y,-,N,-,N,N,N,N,"purpose of movement; herd types (dairy, beef, mixed, other)",Y,bTB,animal holding,262453,animal movements,7328862,N,-,-,1,Y,Y,models accounted for temporal movements (daily),R,"First, the association between network centrality indicators and bTB infection status was analysed using a multivariate logistic regression model (predictors being in-degree, out-degree, betweenness and ingoing contact chain; outcome as case or control farm bTB infection; herd size, herd type and euclian distance as adjusting factors). Then, we assessed the association between the bTB status of herds and their exposure to bTB-infected herds in their network and spatial neighbourhood, respectively, with relative weights quantified for each using the corresponding population attributable fractions.",size; number of edges; number of components; betweenness; in-degree; out-degree; ingoing contact chain,Y,edge-betweenness algorithm,"The bTB infection status was associated with a higher in-degree (odds-ratio [OR] = 2.4 [1.1–5.4]) and with a higher ingoing contact chain (OR = 2.2 [1.0–4.7]); the population attributable fraction was 12% [5%–18%] for cattle movements and 73% [68%–78%] for spatial neighbourhood; links representing cattle movements were associated with higher edge betweenness than those representing the spatial proximity between infected herds; Although the role of cattle movements was quantitatively lower than the one of spatial neighbourhood, cattle movements appear to have been essential in the French bTB dynamics between 2005 and 2014. Cattle movements (i.e. network neighbourhood edges) were often links connecting distinct communities and sometimes distinct geographical areas - facilitating the transmission between endemic bTB areas to non-affected areas.","other disease outbreaks occurred during this period in France, like the Bluetongue epidemic in 2007–2008, which could have bias the results; Sensitivity of tests might affect the outcome results; ","More studies about each of local transmission, especially on neighbouring effective contacts at pasture, are needed.",
Pamornchainavakul 2023,Evolucionary Applications,Unveiling invisible farm-to-farm PRRSV-2 transmission links and routes through transmission tree and network analysis,2023,10.1111/eva.13596,"to infer farm-to-farm transmission links, estimate farm-level transmissibility as defined by reproduction numbers (R), and identify associated risk factors for transmission; important because of PRRS's impact on productivity losses and swine health",USA,Y,a major swine-dense farming region in the U.S. in which 70% of farms belong to two multi-site swine production systems that participate in MSHMP,swine,Morrison Swine Health Monitoring Project (MSHMP) database; directly from production systems,2014,2017,Y,"The three largest phylogenetic clusters of PRRSV-2 lineage 1A, denoted as cluster A (n = 96 sequences), B (n = 58 sequences), and C (n = 52 sequences), were included in the analyses  and a 6-month infection window was focused on",Y,voluntary participation in database,N,N,N,Y,herd size,Y,PRRSV-2 lineage L1A ,farms,-,animal movements; inferred animal movements,283959 in databse used (not sure which were included in network or how many were inferred),N,-,-,5,Y,Y,6-month infection window chosen; season,R,"Focusing our analysis on the emergence and spread of L1A viruses from 2014 to 2017, we queried 1515 voluntarily submitted ORF5 sequences from the study area and a maximum likelihood phylogeny was reconstructed from the alignment. We identified the largest three clusters of closely related sequences from the phylogenetic tree, then conducted further analyses for each cluster separately. The animal movement data used in this study were directly obtained from the two participating production systems, which electronically recorded all farm-to-farm movements of pigs. We constructed time-scaled phylogenies for the clusters. To infer transmission networks from the MCC trees, we conducted transmission tree analysis. To parameterize the model priors, we assumed that the observed transmission processes were part of an ongoing outbreak. In order to translate the transmission network from the animal level to the farm level, we used the farm ID associated with each sequence to create a farm-level transmission network, assuming that the virus must have moved between farms somewhere along the pig-to-pig infection chain inferred in the transmission network analysis. We used animal movement data to identify “known” direct transmission events, wherein direct farm-to-farm transmission can be reasonably assumed if an animal movement occurred between the farms during the infection window. We created a time-stamped dynamic movement network and extracted the shortest path between the samples existing during the infection window of every sampled pair. Since the farm-level R can be calculated only from direct farm-to-farm transmission, we assumed that direct farm-to-farm transmission had occurred in any case where the infection chain was shorter than the median of ICL at MPL of 1 (regardless of the presence of documented animal movement) and used the resulting farm-to-farm transmission events to create a farm-level transmission network. Two sensitivty analyses were performed, and farm-level R values were computed. Farm-level metadata, including location and production type, were utilized to investigate potential modes of transmission between farms beyond animal movement. Farm-to-farm transmission pairs used for the R value calculation were transformed into directed transmission networks for each cluster. We applied multivariable exponential random graph models (ERGMs) to the networks to identify factors significantly associated with the occurrence of an inferred transmission link.",shortest path length; infection chains; in-degree; out-degree; geodesic distance; MPL,N,-,"pairs of farms that were more distant to each other in the movement network also had longer inferred infection chains; over 80% of the farm-to-farm transmission events had no corresponding animal movement linking the two farms, highlighting the fact that other transmission modes play a role in between-farm spread; most infected farms transmitted the virus to one additional farm, though several potential super-spreader events (R substantially above 1) were observed; while boar studs are seldom infected with PRRS, sequences associated with two outbreaks at boar studs had higher than average farm-level Rs, suggesting contaminated semen; PRRS outbreaks have a farm-level R of ~1, and a seasonal pattern of super-spreader events (R > 1) was not clearly detected in our network; network analysis revealed that a short distance between the pair of farms was a protective factor for the occurrence of a transmission event between farms","Our R value estimation, however, likely underestimated the true spread due to potential shortcomings associated with sequencing data generation; limited by data availability on other transmission routes; focused on the voluntarily submitted ORF5 gene of a specific sub-lineage within a single swine-producing region in the U.S.","Routine PRRS monitoring or testing, along with risk communication within and between the production systems, is necessary to prevent potential transmission links; applying our integrative approach can enhance disease monitoring efforts by providing fine-scale epidemiologic assessment such as estimating patterns of spread of PRRSV-2 variants in a particular region or production system, or comparing between-farm transmissibility before and after control interventions; can also be extended to analyze the potential transmission risks of other livestock or even human diseases",
