Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study
Network modeling of BVD transmission,"Tinsley, M; Lewis, FI; Brülisauer, F","Endemic diseases of cattle, such as bovine viral diarrhea, have significant impact on production efficiency of food of animal origin with consequences for animal welfare and climate change reduction targets. Many modeling studies focus on the local scale, examining the on-farm dynamics of this infectious disease. However, insight into prevalence and control across a network of farms ultimately requires a network level approach. Here, we implement understanding of infection dynamics, gained through these detailed on-farm modeling studies, to produce a national scale model of bovine viral diarrhea virus transmission. The complex disease epidemiology and on-farm dynamics are approximated using SIS dynamics with each farm treated as a single unit. Using a top down approach, we estimate on-farm parameters associated with contraction and subsequent clearance from infection at herd level. We examine possible control strategies associated with animal movements between farms and find measures targeted at a small number of high-movement farms efficient for rapid and sustained prevalence reduction.",2012,VETERINARY RESEARCH,43,,,10.1186/1297-9716-43-11,#256,Tinsley 2012
Model-guided suggestions for targeted surveillance based on cattle shipments in the US,"Gorsich, EE; McKee, CD; Grear, DA; Miller, RS; Portacci, K; Lindström, T; Webb, CT","Risk-based sampling is an essential component of livestock health surveillance because it targets resources towards sub-populations with a higher risk of infection. Risk-based surveillance in U.S. livestock is limited because the locations of high-risk herds are often unknown and data to identify high-risk herds based on shipments are often unavailable. In this study, we use a novel, data-driven network model for the shipments of cattle in the U.S. (the U.S. Animal Movement Model, USAMM) to provide surveillance suggestions for cattle imported into the U.S. from Mexico. We describe the volume and locations where cattle are imported and analyze their predicted shipment patterns to identify counties that are most likely to receive shipments of imported cattle. Our results suggest that most imported cattle are sent to relatively few counties. Surveillance at 10 counties is predicted to sample 22-34% of imported cattle while surveillance at 50 counties is predicted to sample 43%-61% of imported cattle. These findings are based on the assumption that USAMM accurately describes the shipments of imported cattle because their shipments are not tracked separately from the remainder of the U.S. herd. However, we analyze two additional datasets - Interstate Certificates of Veterinary Inspection and brand inspection data - to ensure that the characteristics of potential post-import shipments do not change on an annual scale and are not dependent on the dataset informing our analyses. Overall, these results highlight the utility of USAMM to inform targeted surveillance strategies when complete shipment information is unavailable.",2018,PREVENTIVE VETERINARY MEDICINE,150,,52-59,10.1016/j.prevetmed.2017.12.004,#260,Gorsich 2018
Modelling of paratuberculosis spread between dairy cattle farms at a regional scale,"Beaunée, G; Vergu, E; Ezanno, P","Mycobacterium avium subsp. paratuberculosis (Map) causes Johne's disease, with large economic consequences for dairy cattle producers worldwide. Map spread between farms is mainly due to animal movements. Locally, herd size and management are expected to influence infection dynamics. To provide a better understanding of Map spread between dairy cattle farms at a regional scale, we describe the first spatio-temporal model accounting simultaneously for population and infection dynamics and indirect local transmission within dairy farms, and between-farm transmission through animal trade. This model is applied to Brittany, a French region characterized by a high density of dairy cattle, based on data on animal trade, herd size and farm management (birth, death, renewal, and culling) from 2005 to 2013 for 12 857 dairy farms. In all simulated scenarios, Map infection highly persisted at the metapopulation scale. The characteristics of initially infected farms strongly impacted the regional Map spread. Network-related features of incident farms influenced their ability to contaminate disease-free farms. At the herd level, we highlighted a balanced effect of the number of animals purchased: when large, it led to a high probability of farm infection but to a low persistence. This effect was reduced when prevalence in initially infected farms increased. Implications of our findings in the current enzootic situation are that the risk of infection quickly becomes high for farms buying more than three animals per year. Even in regions with a low proportion of infected farms, Map spread will not fade out spontaneously without the use of effective control strategies.",2015,VETERINARY RESEARCH,46,,,10.1186/s13567-015-0247-3,#261,Beaunée 2015
Contact structure and <i>Salmonella</i> control in the network of pig movements in France,"Lurette, A; Belloc, C; Keeling, M","Movement restrictions are a key measure to control pathogen transmission in the swine industry due when purchasing animals. Here recorded animal movements between herds in France are used to generate a network model. This network consists of different types of herds together with specific links between them, with some herds being suppliers (of reproductive gilts or piglets) for others. The connectivity between herds within this network exhibits a highly variable number of contacts according to the type of animal moved (8 kg piglets, 25 kg piglets or reproductive gilts). A simulation model is used to assess the impact of control measures aimed at reducing Salmonella prevalence at every level of the production network. In particular we consider restricting animal purchases according to the infectious status of herds (level of prevalence) such that animals do not move from higher to lower herd prevalence; this measure can additionally be combined with infection control at the herd-level. When Salmonella initially invades the production structure, the restriction of animal movements alone is sufficient to significantly decrease the number of herds infected. In contrast, once infection is endemic within the production structure, movement restrictions have to be supplemented by within-herd control applied to a large proportion of herds to reduce the pathogen prevalence. These results demonstrate the important distinction between the control of epidemics and endemic infections and highlight the different impacts of control measures at the within- and at the between-herd levels. (C) 2011 Elsevier B.V. All rights reserved.",2011,PREVENTIVE VETERINARY MEDICINE,102,1,30-40,10.1016/j.prevetmed.2011.06.007,#264,Lurette 2011
Multilayer network analysis of FMD transmission and containment among beef cattle farms,"Yi, CL; Yang, QH; Scoglio, CM","As a highly contagious livestock viral disease, foot-and-mouth disease poses a great threat to the beef-cattle industry. Direct animal movement is always considered as a major route for between-farm transmission of FMD virus. Sharing contaminated equipment and vehicles have also attracted increasing interests as an indirect but considerable route for FMD virus transmission. With the rapid development of communication technologies, information-sharing techniques have been used to control epidemics. In this paper, we built farm-level time-series three-layer networks to simulate the between-farm FMD virus transmission in southwest Kansas by cattle movements (direct-contact layer) and truck visits (indirect-contact layer) and evaluate the impact of information-sharing techniques (information-sharing layer) on mitigating the epidemic. Here, the information-sharing network is defined as the structure that enables the quarantine of farms that are connected with infected farms. When a farm is infected, its infection status is shared with the neighboring farms in the information-sharing network, which in turn become quarantined. The results show that truck visits can enlarge the epidemic size and prolong the epidemic duration of the FMD outbreak by cattle movements, and that the information-sharing technique is able to mitigate the epidemic. The mitigation effect of the information-sharing network varies with the information-sharing network topology and different participation levels. In general, an increased participation leads to a decreased epidemic size and an increased quarantine size. We compared the mitigation performance of three different information-sharing networks (random network, contact-based network, and distance-based network) and found the outbreak on the network with contact-based information-sharing layer has the smallest epidemic size under almost any participation level and smallest quarantine size with high participation. Furthermore, we explored the potential economic loss from the infection and the quarantine. By varying the ratio of the average loss of quarantine to the loss of infection, we found high participation results in reduced economic losses under the realistic assumption that culling costs are much greater than quarantine costs.",2022,SCIENTIFIC REPORTS,12,1,,10.1038/s41598-022-19981-0,#265,Yi 2022
Contrasting animal movement and spatial connectivity networks in shaping transmission pathways of a genetically diverse virus,"VanderWaal, K; Paploski, IAD; Makau, DN; Corzo, CA","Analyses of livestock movement networks has become key to understanding an industry's vulnerability to infectious disease spread and for identifying farms that play disproportionate roles in pathogen dissemination. In addition to animal movements, many pathogens can spread between farms via mechanisms mediated by spatial proximity. Heterogeneities in contact patterns based on spatial proximity are less commonly considered in network studies, and studies that jointly consider spatial connectivity and animal movement are rare. The objective of this study was to determine the extent to which movement versus spatial proximity networks determine the distribution of an economically important endemic virus, porcine reproductive and respiratory syndrome virus (PRRSV), within a swine-dense region of the U.S. PRRSV can be classified into numerous phylogenetic lineages. Such data can be used to better resolve between-farm infection chains and elucidate types of contact most associated with transmission. Here, we construct movement and spatial proximity networks; farms within the networks were classified as cases if a given PRRSV lineage had been recovered at least once in a year for each of three years analyzed. We evaluated six lineages and sub-lineages across three years, and evaluated the epidemiological relevance of each network by applying network k-tests to statistically evaluate whether the pattern of case occurrence within the network was consistent with transmission via network linkages. Our results indicated that animal movements, not local area spread, play a dominant role in shaping transmission pathways, though there were differences amongst lineages. The median number of case farms inter-linked via animal movements was approximately 4.1x higher than random expectations (range: 1.7-13.7; p < 0.05, network k-test), whereas this measure was only 2.7x higher than random expectations for farms linked via spatial proximity (range: 1.3-5.4; p < 0.05, network k-test). For spatial proximity networks, contact based on proximities of < 5 km appeared to have greater epidemiological relevance than longer distances, likely related to diminishing probabilities of local area spread at greater distances. However, the greater overall levels of connectivity of the spatial network compared to the movement network highlights the vulnerability of pig populations to wide-spread transmission via this route. By combining genetic data with network analysis, this research advances our understanding of dynamics of between-farm spread of PRRSV, helps establish the relative importance of transmission via animal movements versus local area spread, and highlights the potential for targeted control strategies based upon heterogeneities in network connectivity.",2020,PREVENTIVE VETERINARY MEDICINE,178,,,10.1016/j.prevetmed.2020.104977,#266,VanderWaal 2020
Social network analysis for poultry HPAI transmission,"Sun, XD; Kung, NYH; Gao, L; Liu, YJ; Zhan, SH; Qi, X; Wang, X; Dong, XM; Jia, ZN; Morris, RS","In this survey study, the networks among poultry farms and related poultry enterprises in two counties in China (Feixi County in Anhui Province and Beizhen city in Liaoning Province) were analysed and evaluated focusing on the connectivity of contacts, movements, and potential pathogen transmission. The Feixi County poultry production network exhibited greater connectivity, which incorporated approximately 94% of the farms interviewed in a major component (a set of connected farms not linked with each other), mainly due to linkages of backyard farms through local produce stores and individual agents, whilst the Beizhen City network was more fragmented owing to independent in-house operations (from breed, raise, to slaughter and process) of a few large companies, with multiple smaller components. A range of factors influencing the contacts/movements among farms (act as bridges) were identified in this study. Ability to predict the pathway with the network characteristics on the basis of the factors, such as entity type and geographic location, is useful for developing risk-based approaches for disease prevention, surveillance, early detection, and effective controlling.",2018,TRANSBOUNDARY AND EMERGING DISEASES,65,6,1909-1919,10.1111/tbed.12972,#267,Sun 2018
Network analysis of cattle movements in Chile: Implications for pathogen spread and control,"Alocilla, O; Monti, G","Livestock movement between herds is one of the main routes for a pathogen to spread between herds. Understanding the contact structure, patterns and importance of specific individuals and classes can help assess dissemination risk, control, and surveillance measures. In this study, the cattle herd's contact structure in southern Chile was characterized based on the study of movement within one of the most important geographical regions for livestock production. Using Social Network Analysis, network measures of centrality, network cohesion and contact chains were estimated to identify essential features that can influence disease transmission among premises. Static and disaggregated by season networks were built for the entire set of nodes and for the Los Rios region animal flow only. For all networks, it was found that most nodes had a few movements; meanwhile, a small number of them were highly connected. Livestock markets have a powerful influence over the networks, being the most connected and central nodes, appearing as candidates for surveillance because of their possible role as super spreaders. Nodes attributes were associated with the likelihood of having high contact chains measures, such as herd class, location, and presence of markets anywhere on the contact chain. This work is the first deep analysis in livestock flows in Chile and shows the importance of animal movement data interpretation to assess pathogen risk spread in the country.",2022,PREVENTIVE VETERINARY MEDICINE,204,,,10.1016/j.prevetmed.2022.105644,#271,Alocilla 2022
Animal movement network analysis as a tool to map farms serving as contamination source in cattle cysticercosis,"Aragao, SC; Ito, PKRK; Paulan, SC; Utsunomyia, YT; Grisi, JHH; Nunes, CM","Bovine cysticercosis is a problem distributed worldwide that result in economic losses mainly due to the condemnation of infected carcasses. One of the difficulties in applying control measures is the identification of the source of infection, especially because cattle are typically acquired from multiple farms. Here, we tested the utility of an animal movement network constructed with data from a farm that acquires cattle from several other different farms to map the major contributors of cysticercosis propagation. Additionally, based on the results of the network analysis, we deployed a sanitary management and drug treatment scheme to decrease cysticercosis' occurrence in the farm. Six farms that had commercial trades were identified by the animal movement network and characterized as the main contributors to the occurrence of cysticercosis in the studied farm. The identification of farms with a putative risk of Taenia saginata infection using the animal movement network along with the proper sanitary management and drug treatment resulted in a gradual decrease in cysticercosis prevalence, from 25% in 2010 to 3.7% in 2011 and 1.8% in 2012. These results suggest that the animal movement network can contribute towards controlling bovine cysticercosis, thus minimizing economic losses and preventing human taeniasis.",2017,PESQUISA VETERINARIA BRASILEIRA,37,4,319-324,10.1590/S0100-736X2017000400004,#272,Aragao 2017
Network Analysis of Cattle Movement in Mato Grosso Do Sul (Brazil) and Implications for Foot-and-Mouth Disease,"de Menezes, TC; Luna, I; de Miranda, SHG","Foot-and mouth disease (FMD) is an animal disease that generates many economic impacts and sanctions on the international market. In 2018, Brazil, the world's largest beef exporter, had the recognition by World Organization for Animal Health (OIE) as a country free of FMD with vaccination and proposed to withdraw FMD vaccination throughout the country, based on a 10-year schedule, beginning in 2019. Therefore, Brazil needs studies to help the decision-making process, particularly regarding the availability of resources for strengthening of official animal health services. The state of Mato Grosso do Sul (MS) was chosen to be analyzed for three reasons: the size of its herd, the economic importance of its livestock and its location-which lies on the border with Paraguay and Bolivia. The current study adopted the Social Network Analysis and performed an exploratory analysis of cattle movement in MS. The most central municipalities in the networks were identified and they can be seen as crucial in strategies to monitor animal movement and to control outbreaks. The cattle movement networks demonstrated to be strongly connected, implying a high-speed potential FMD diffusion, in case of reintroduction. In a second stage, we performed an exploratory analysis of animal movement within the state, assuming distinct points in time for the identification of animal origin. The results of the analysis underlined the need and relevance of investing in animal control, sanitary education for producers and equipment and technologies to assist in the early detection, diagnosis, and eradication of outbreaks in a fast and efficient manner, preventing a possible outbreak from spreading to other regions.",2020,FRONTIERS IN VETERINARY SCIENCE,7,,,10.3389/fvets.2020.00219,#277,deMenezes 2020
No long-term influence of movement restriction regulations on the contact-structure between and within cattle holding types in the Netherlands,"Brouwer, H; Bartels, CJM; Stegeman, A; van Schaik, G","Background: More and more countries hold databases on cattle movements. The primary purpose of the registration of cattle movements is to provide data for quick tracing of contagious animals in case of disease outbreaks and food safety scares. Nevertheless, these data can also be used for analytical studies to get insight into the nature of the contact structure between and within cattle holding types. This paper focuses on the effect post-2001 FMD movement regulations have had on the number of cattle movements between different and within the same cattle holding types. Important characteristics and dynamics of cattle movement patterns of Dutch cattle holding types were identified using data on cattle movements after the 2001 FMD outbreak.Results: The results showed that in 2001, just after the FMD outbreak when strict movement restriction regulations were in force, a reduced number of cattle movements was seen compared to before the FMD outbreak. However, the number of cattle movements off-farm for live trade and the number of imported cattle increased in the period 2002-2004 to higher levels than expected, i.e. to levels almost as high as before the FMD outbreak, despite operative movement restriction regulations. As the number of cattle movements to and from traders strongly decreased just after the FMD outbreak in 2001, traders regained their central role again in the network in the years 2002-2004.Conclusions: Quantifying the Dutch cattle contact structure between and within holding types up to 3.5 years after the FMD outbreak gave evidence that the post-FMD movement restriction regulations were not able to reduce the number of cattle movements in the longer term. With that the risk of a large epidemic increased. Quantifying contact structures based on animal movement data between different and within the same cattle holding types is important for targeting disease control and for assessing compliance with legislation.",2012,BMC VETERINARY RESEARCH,8,,,10.1186/1746-6148-8-188,#279,Brouwer 2012
Modeling the effectiveness of targeting Rift Valley fever virus vaccination using imperfect network information,"Sulaimon, TA; Chaters, GL; Nyasebwa, OM; Swai, ES; Cleaveland, S; Enright, J; Kao, RR; Johnson, PCD","Livestock movements contribute to the spread of several infectious diseases. Data on livestock movements can therefore be harnessed to guide policy on targeted interventions for controlling infectious livestock diseases, including Rift Valley fever (RVF)-a vaccine-preventable arboviral fever. Detailed livestock movement data are known to be useful for targeting control efforts including vaccination. These data are available in many countries, however, such data are generally lacking in others, including many in East Africa, where multiple RVF outbreaks have been reported in recent years. Available movement data are imperfect, and the impact of this uncertainty in the utility of movement data on informing targeting of vaccination is not fully understood. Here, we used a network simulation model to describe the spread of RVF within and between 398 wards in northern Tanzania connected by cattle movements, on which we evaluated the impact of targeting vaccination using imperfect movement data. We show that pre-emptive vaccination guided by only market movement permit data could prevent large outbreaks. Targeted control (either by the risk of RVF introduction or onward transmission) at any level of imperfect movement information is preferred over random vaccination, and any improvement in information reliability is advantageous to their effectiveness. Our modeling approach demonstrates how targeted interventions can be effectively used to inform animal and public health policies for disease control planning. This is particularly valuable in settings where detailed data on livestock movements are either unavailable or imperfect due to resource limitations in data collection, as well as challenges associated with poor compliance.",2023,FRONTIERS IN VETERINARY SCIENCE,10,,,10.3389/fvets.2023.1049633,#281,Sulaimon 2023
Network analyses using case-control data to describe and characterize the initial 2014 incursion of porcine epidemic diarrhea (PED) in Canadian swine herds,"Perri, AM; Poljak, Z; Dewey, C; Harding, JCS; O'Sullivan, TL","The overall objective of this study was to describe the contact structure and animal movement patterns of porcine epidemic diarrhea (PED) case herds and matched control herds during the initial incursion of PEDV in Canada, and to evaluate possible mechanisms of spread during this period. Possible mechanisms of spread included transmission through a common-source, herd-to-herd transmission, and transmission due to low biosecurity. Three hypotheses were evaluated by assessing: 1) whether feed supplier, semen supplier and/or animal transportation company networks contained a higher proportion of case herds compared to randomly permuted networks, 2) whether the proportion of case herds in the giant weak component differed from randomly permuted networks, and 3) whether external herd biosecurity, defined as the number of mean contacts with other herds in a one-mode network, was different between case and control herds. The study period for recruiting case and control herds was from January 22, 2014 to March 1, 2014, and a 30-day history of each participating site was collected using a questionnaire. The study included swine herds located in central and eastern Canadian provinces. Multiple two-mode networks with swine herds and service suppliers were constructed. This included feed suppliers, animal movement, animal transportation companies, semen suppliers and a complete network with all service providers.The complete network consisted of 145 nodes. There were a total of 765 edges in the complete network and majority were between feed suppliers and primary herds 29.8% (228/765). The proportion of case herds in the largest feed supplier network was higher than what was expected using randomly permuted networks, suggesting that the likely mechanism of spread during this phase was a common-source through the feed network. A single feed supplier (FS1) had the highest out-degree and outgoing contact chain indicating its importance in disease spread throughout the feed and complete networks. Network descriptive measures, as well as the results of the hypotheses testing indicate little significance in the roles of animal movement, animal transportation companies, and semen suppliers during the initial phase of the 2014 Canadian PED outbreak.",2019,PREVENTIVE VETERINARY MEDICINE,162,,18-28,10.1016/j.prevetmed.2018.11.001,#282,Perri 2019
Livestock trade network: potential for disease transmission and implications for risk-based surveillance on the island of Mayotte,"Kim, Y; Dommergues, L; Ben M'sa, A; Mérot, P; Cardinale, E; Edmunds, J; Pfeiffer, D; Fournié, G; Métras, R","The island of Mayotte is a department of France, an outermost region of the European Union located in the Indian Ocean between Madagascar and the coast of Eastern Africa. Due to its close connection to the African mainland and neighbouring islands, the island is under constant threat of introduction of infectious diseases of both human and animal origin. Here, using social network analysis and mathematical modelling, we assessed potential implications of livestock movements between communes in Mayotte for risk-based surveillance. Our analyses showed that communes in the central region of Mayotte acted as a hub in the livestock movement network. The majority of livestock movements occurred between communes in the central region and from communes in the central region to those in the outer region. Also, communes in the central region were more likely to be infected earlier than those in the outer region when the spread of an exotic infectious disease was simulated on the livestock movement network. The findings of this study, therefore, suggest that communes in the central region would play a major role in the spread of infectious diseases via livestock movements, which needs to be considered in the design of risk-based surveillance systems in Mayotte.",2018,SCIENTIFIC REPORTS,8,,,10.1038/s41598-018-29999-y,#283,Kim 2018
"From network analysis to risk analysis-An approach to risk-based surveillance for bovine tuberculosis in Minnesota, US","Ribeiro-Lima, J; Enns, EA; Thompson, B; Craft, ME; Wells, SJ","Bovine tuberculosis (bTB) was first detected in 2005 in cattle in northwestern Minnesota (MN) through slaughter surveillance. By the end of 2008,12 cattle herds were infected with bTB, and the main cause for infection was determined to be the movement of infected animals between herds. Bovine tuberculosis was contained in a smaller area in northwestern Minnesota classified as modified accredited (MA), corresponding to a prevalence inferior to 0.1% in cattle. From January 2008 to 2011, all cattle movements within the bTB MA were recorded electronically. The primary objectives of this study were to characterize cattle movements within this region and identify cattle herds with higher risk of bTB introduction based on network parameters and known risk factors from the published literature. During the period that data was collected, 57,460 cattle were moved in 3762 movements corresponding to permits issued to 682 premises, mostly representing private farms, sale yards, slaughter facilities and county or state fairs. Although sale yards represented less than 2% of the premises (nodes), 60% of the movements were to or from a sale yard. The network showed an overall density of 0.4%, a clustering coefficient of 14.6% and a betweenness centralization index of 12.7%, reflecting the low connectivity of this cattle network. The degree distribution showed that 20% of nodes performed 90% of the movements. Farms were ranked based on the total risk score and divided into high, medium, and low risk groups based on the score and its variability. The higher risk group included 14% (n = 50) of the farms, corresponding to 80% of the cumulative risk for the farms in the bTB area. This analysis provides a baseline description about the contact structure of cattle movements in an area previously infected with bTB and develops a framework for a targeted surveillance approach for bTB to support future surveillance decisions. (C) 2014 Elsevier B.V. All rights reserved.",2015,PREVENTIVE VETERINARY MEDICINE,118,4,328-340,10.1016/j.prevetmed.2014.12.007,#286,Ribeiro-Lima 2015
"Social network analysis of the movement of poultry to and from live bird markets in Bali and Lombok, Indonesia","Kurscheid, J; Stevenson, M; Durr, PA; Toribio, JALML; Kurscheid, S; Ambarawati, IGAA; Abdurrahman, M; Fenwick, S","Highly pathogenic avian influenza H5N1 has resulted in large losses to the Indonesian poultry sector. Evidence suggests that live bird markets (LBMs) play an important role in the epidemiology of the disease. Knowledge of the frequency and type of contact between the various poultry market players should allow animal health authorities to develop a better understanding of factors influencing virus transmission between Indonesian villages. A questionnaire-based cross-sectional survey was conducted in 17 LBMs on the neighbouring Indonesian islands of Bali and Lombok to investigate the movement patterns of poultry to and from markets. Using social network analyses, a network of contacts was created for each island from a total of 413 live poultry traders and 134 customers. Individual nodes with high degree and/or betweenness were identified in each network. The Lombok network was more dense and connected than the Bali network indicating that disease transmission would be more efficient in the Lombok network. Our findings indicate that whilst live poultry are typically transported over relatively short distances of approximately 10km, it is not uncommon for traders and customers to travel in excess of 100km to buy or sell poultry, which may facilitate the spread of disease over a large geographical area. This study highlights the different roles markets play in poultry movement networks and their potential for disease dissemination. The identification of highly influential market nodes allows authorities to target HPAI surveillance activities to locations where disease is more likely to be present, which is crucial in low-resource settings.",2017,TRANSBOUNDARY AND EMERGING DISEASES,64,6,2023-2033,10.1111/tbed.12613,#287,Kurscheid 2017
Evaluation of farm-level parameters derived from animal movements for use in risk-based surveillance programmes of cattle in Switzerland,"Schärrer, S; Widgren, S; Schwermer, H; Lindberg, A; Vidondo, B; Zinsstag, J; Reist, M","Background: This study focused on the descriptive analysis of cattle movements and farm-level parameters derived from cattle movements, which are considered to be generically suitable for risk-based surveillance systems in Switzerland for diseases where animal movements constitute an important risk pathway.Methods: A framework was developed to select farms for surveillance based on a risk score summarizing 5 parameters. The proposed framework was validated using data from the bovine viral diarrhoea (BVD) surveillance programme in 2013.Results: A cumulative score was calculated per farm, including the following parameters; the maximum monthly ingoing contact chain (in 2012), the average number of animals per incoming movement, use of mixed alpine pastures and the number of weeks in 2012 a farm had movements registered. The final score for the farm depended on the distribution of the parameters. Different cut offs; 50, 90, 95 and 99 %, were explored. The final scores ranged between 0 and 5. Validation of the scores against results from the BVD surveillance programme 2013 gave promising results for setting the cut off for each of the five selected farm level criteria at the 50th percentile. Restricting testing to farms with a score >= 2 would have resulted in the same number of detected BVD positive farms as testing all farms, i.e., the outcome of the 2013 surveillance programme could have been reached with a smaller survey.Conclusions: The seasonality and time dependency of the activity of single farms in the networks requires a careful assessment of the actual time period included to determine farm level criteria. However, selecting farms in the sample for risk-based surveillance can be optimized with the proposed scoring system. The system was validated using data from the BVD eradication program. The proposed method is a promising framework for the selection of farms according to the risk of infection based on animal movements.",2015,BMC VETERINARY RESEARCH,11,,,10.1186/s12917-015-0468-8,#288,Schärrer 2015
Using an agent-based model to evaluate the effect of producer specialization on the epidemiological resilience of livestock production networks,"Wiltshire, SW","An agent-based computer model that builds representative regional U.S. hog production networks was developed and employed to assess the potential impact of the ongoing trend towards increased producer specialization upon network-level resilience to catastrophic disease outbreaks. Empirical analyses suggest that the spatial distribution and connectivity patterns of contact networks often predict epidemic spreading dynamics. Our model heuristically generates realistic systems composed of hog producer, feed mill, and slaughter plant agents. Network edges are added during each run as agents exchange livestock and feed. The heuristics governing agents' contact patterns account for factors including their industry roles, physical proximities, and the age of their livestock. In each run, an infection is introduced, and may spread according to probabilities associated with the various modes of contact. For each of three treatments-defined by one-phase, two-phase, and three-phase production systems-a parameter variation experiment examines the impact of the spatial density of producer agents in the system upon the length and size of disease outbreaks. Resulting data show phase transitions whereby, above some density threshold, systemic outbreaks become possible, echoing findings from percolation theory. Data analysis reveals that multi-phase production systems are vulnerable to catastrophic outbreaks at lower spatial densities, have more abrupt percolation transitions, and are characterized by less-predictable outbreak scales and durations. Key differences in network-level metrics shed light on these results, suggesting that the absence of potentially-bridging producer-producer edges may be largely responsible for the superior disease resilience of single-phase ""farrow to finish"" production systems.",2018,PLOS ONE,13,3,,10.1371/journal.pone.0194013,#289,Wiltshire 2018
Epidemic Spreading in an Animal Trade Network - Comparison of Distance-Based and Network-Based Control Measures,"Büttner, K; Krieter, J; Traulsen, A; Traulsen, I","This study considered a simple SIR model for the spread of epidemics amongst holdings of a producer community in Northern Germany, based on the directed network of animal movements. The aim of this study was to evaluate the efficiency of different control measures to reduce the epidemic size substantially. The currently applied control measures based on the distance to an infected holding were compared with the control measures based on the specific network-based centrality parameters. We found that network-based measures led to a more efficient control of epidemics with a much smaller number of removed holdings. To assess the impact of different holding types, the analysed control measures were implemented by both including and excluding these holding types. The comparison revealed a crucial role of multipliers in the spread of an epidemic. The network-based control measures depending on the removal by out-degree, outgoing infection chain, betweenness centrality and outgoing closeness centrality showed the best results: In the three-year network, on average, 2.75, 4.15, 3.73 and 3.43 times more holdings had to be removed by the control measures based on the 1, 3, 5 and 10 km radius to reduce the epidemic to the same size compared with the network-based control measures. In an area with a higher holding density, the improvement of the network-based control measures may become even more obvious. The removal of holdings based on the above-mentioned centrality parameters did thus not only rapidly decompose the network into fragments, but also reduced the epidemic size most efficiently.",2016,TRANSBOUNDARY AND EMERGING DISEASES,63,1,E122-E134,10.1111/tbed.12245,#292,Büttner 2016
Social network analysis and risk assessment: An example of introducing an exotic animal disease in Italy,"Maurella, C; Mastrantonio, G; Bertolini, S; Crescio, MI; Ingravalle, F; Adkin, A; Simons, R; De Nardi, M; Estrada-Peña, A; Horigan, V; Ru, G","Exotic animal diseases are transboundary hazards, characterized by their capability to cover global distances, affecting animal health and welfare with significant economic losses. Their prevention is complex and requires the dynamic management of potential entry points, transmission pathways, and preventative barriers. The well-timed detection of an undefined or unexpected (exotic or re-emerging) threat could minimize the consequences due to onward transmission. As a fit for purpose framework, OIE developed the import risk assessment i.e. a risk assessment model focusing on the entrance of an exotic disease into a geographical area with naive hosts. In this paper, we propose an improvement of the model by integrating it with Social Network Analysis (SNA) accounting for within-country animal movements. Our integrated model has been used as a combined tool to better estimate the spatial probability of the introduction of at least one affected animal in Italian provinces using Bluetongue (BT) as an example. Starting from international country-specific BT prevalence data, the model estimated the probability of introduction to Italy via two different routes of release i.e. the import of infected animals or the release of infected vectors either associated with imported livestock or through windborne dispersion from Africa. The conventional OIE model estimating the probability of BT entering Italy assuming the same release probability for every Italian province was paralleled by a model integrated with outputs from SNA to account for different release probability among provinces based on animal movements. The conventional model predicted a remarkable homogeneity in the risk among the provinces with some peaks only visible during the warmest months. The model incorporating the network analysis predicted the highest risk to be in the North Eastern region of Italy but also highlighted the likely occurrence in a couple of Southern provinces, an output mirroring past occurrence of BT in Italy. Moreover, the sensitivity analysis highlighted the main role for a couple of model parameters i.e. the probability for a vector to become infected and the vaccine coverage, thus suggesting that an extra effort in vaccine campaigns could be envisaged. The ability to measure animal movements by SNA can allow the identification of geographical risk hot spots and therefore the risk-based targeting of the surveillance system.",2019,MICROBIAL RISK ANALYSIS,13,,,10.1016/j.mran.2019.04.001,#294,Maurella 2019
Detection of Infection Sources for Avian Influenza A(H7N9) in Live Poultry Transport Network During the Fifth Wave in China,"Pei, X; Jin, Z; Zhang, WY; Wang, Y","Numerous studies have demonstrated that exposure to live poultry or live poultry markets is the significant risk factor for human infection with avian influenza A(H7N9). However, the specific live poultry markets that are major infection sources for A(H7N9) human cases have not been explored in detail. In this study, we extract data associated with poultry farms, live poultry markets and farmers markets from Baidu Map using the JavaScript language and then construct the live poultry transport network. From this, we establish our A(H7N9) transmission model over the network based upon probabilistic discrete-time Markov chain. On the basis of the obtained network and model, we propose spatiotemporal backward detection and forward transmission algorithms to detect the most likely infection sources and to compute the first arrival times of the infection sources. Our simulations use these algorithms to identify the specific locations of the infection sources, the first arrival times of the infection sources and the most likely transmission map of the A(H7N9) virus along the live poultry transport network. The results reveal that, in addition to the hazards posed by the live poultry markets, backyard poultry also contributed to A(H7N9) human infections; this risk source was significant especially in the newly affected provinces, in the fifth wave of infection. In particular, by analyzing the temperature characteristics at a given location when the infection source arrived, we find that the risk of human infection with the influenza A(H7N9) virus was high under 9C19C; moderate under 0C9C or 19C25C; and low for temperatures 0C or 25C. Our results suggest that strengthening the supervision of the live poultry market system and immunizing poultry at both live poultry markets and the backyard poultry operations under the high risk temperature band of 9C19C, will be able to significantly contribute to the control of avian influenza A(H7N9) in the future.",2019,IEEE ACCESS,7,,155759-155778,10.1109/ACCESS.2019.2949606,#298,Pei 2019
